T,T1,code,name,boards_T,theme,amount_yi,yizi,gonggao,natural,open_pct_T1,open_T1,high_T1,low_T1,close_T1,prev_close_T1,cont_T1,in_zt_T1,dead_h,dead_names,down_h,anchor_type,anchor_name
2025-12-24,2025-12-25,603163,圣晖集成,3,洁净室,2.9,False,False,True,2.41,79.99,85.92,77.89,85.92,78.11,True,True,5,鹭燕医药5,3,anchor_nat_yizi,创元科技
2025-12-24,2025-12-25,603696,安记食品,3,海峡两岸,6.1,False,False,True,8.04,29.04,29.57,25.96,26.5,26.88,False,False,5,鹭燕医药5,3,anchor_nat_yizi,创元科技
2025-12-30,2025-12-31,002931,锋龙股份,5,机器人概念,0.04,True,False,True,9.99,31.7,31.7,31.7,31.7,28.82,True,True,8,神剑股份8,5,anchor_nat_yizi,锋龙股份
2025-12-30,2025-12-31,603278,大业股份,5,商业航天,4.06,False,False,True,9.94,17.03,17.04,13.95,17.04,15.49,True,True,8,神剑股份8,5,anchor_nat_yizi,锋龙股份
2026-01-14,2026-01-15,002044,美年健康,4,人工智能,26.07,False,False,True,5.28,8.571,8.871,8.181,8.501,8.141,False,False,13,锋龙股份13,4,anchor_nat_yizi,三维通信
2026-01-14,2026-01-15,002115,三维通信,4,人工智能,1.49,True,False,True,7.2,21.0,21.0,18.61,19.54,19.59,False,False,13,锋龙股份13,4,anchor_nat_yizi,三维通信
2026-01-14,2026-01-15,002131,利欧股份,4,人工智能,59.45,False,False,True,0.0,9.901,10.371,9.191,10.371,9.901,False,False,13,锋龙股份13,4,anchor_nat_yizi,三维通信
2026-01-14,2026-01-15,002400,省广集团,4,人工智能,55.83,False,False,True,0.29,13.85,13.9,12.43,12.8,13.81,False,False,13,锋龙股份13,4,anchor_nat_yizi,三维通信
2026-01-15,2026-01-16,002153,石基信息,2,人工智能,11.47,False,False,True,,,,,,,False,False,5,直真科技5,2,anchor_nat_yizi,华胜天成
2026-01-15,2026-01-16,002218,拓日新能,2,商业航天,3.44,False,False,True,10.0,6.16,6.16,5.1,5.15,5.6,False,False,5,直真科技5,2,anchor_nat_yizi,华胜天成
2026-01-15,2026-01-16,002264,新华都,2,人工智能,18.95,False,False,True,-9.93,10.89,11.45,10.88,10.88,12.09,False,False,5,直真科技5,2,anchor_nat_yizi,华胜天成
2026-01-15,2026-01-16,002446,盛路通信,2,商业航天,39.45,False,False,True,-2.52,14.3,14.57,13.2,13.2,14.67,False,False,5,直真科技5,2,anchor_nat_yizi,华胜天成
2026-01-15,2026-01-16,002554,惠博普,2,实控人变更,0.47,True,True,False,9.97,4.3,4.3,3.67,3.78,3.91,False,False,5,直真科技5,2,anchor_nat_yizi,华胜天成
