T,T1,code,name,boards_T,theme,fb,rank_T,n_themes_T,fb_T1,rank_T1,open_pct_T1,yizi,amount_yi,touched,sealed,zhaban,dead_h,down_h,group_size,group_key
2026-02-05,2026-02-06,600683,京投发展,3,地产链,0,22,21,0,20,0.0,False,4.46,False,False,False,4,3,1,2026-02-05|3板|地产链
2026-02-06,2026-02-09,002506,协鑫集成,3,光伏,3,6,19,12,2,9.61,False,74.98,True,True,False,3,3,1,2026-02-06|3板|光伏
2026-02-10,2026-02-11,002455,百川股份,3,化工,2,4,16,13,1,7.64,True,1.23,True,True,False,4,3,1,2026-02-10|3板|化工
2026-02-12,2026-02-13,002323,雅博股份,4,光伏,0,19,18,0,16,2.29,False,8.37,False,False,False,4,4,1,2026-02-12|4板|光伏
2026-02-12,2026-02-13,600589,大位科技,4,算力,11,1,18,2,5,10.03,True,3.45,True,False,True,4,4,1,2026-02-12|4板|算力
2026-02-12,2026-02-13,603533,掌阅科技,4,AI应用,1,11,18,4,1,5.94,True,4.03,True,True,False,4,4,2,2026-02-12|4板|AI应用
2026-02-24,2026-02-25,605033,美邦股份,4,农业,0,25,24,0,21,9.99,True,0.94,True,False,True,5,4,1,2026-02-24|4板|农业
2026-02-25,2026-02-26,002470,金正大,2,化工,12,1,20,1,14,10.16,False,2.47,True,True,False,4,2,7,2026-02-25|2板|化工
2026-02-25,2026-02-26,000636,风华高科,2,元器件,0,21,20,3,4,-1.6,False,44.42,False,False,False,4,2,1,2026-02-25|2板|元器件
2026-02-25,2026-02-26,001396,誉帆科技,2,AI应用,5,3,20,0,21,1.17,False,1.81,True,False,True,4,2,1,2026-02-25|2板|AI应用
2026-02-25,2026-02-26,600397,江钨装备,2,有色金属,8,2,20,0,21,2.03,False,30.36,False,False,False,4,2,1,2026-02-25|2板|有色金属
2026-02-25,2026-02-26,600759,洲际油气,2,石油石化,0,21,20,0,21,0.0,False,54.8,False,False,False,4,2,1,2026-02-25|2板|石油石化
2026-02-25,2026-02-26,601872,招商轮船,2,航运,0,21,20,0,21,-0.75,False,30.87,False,False,False,4,2,1,2026-02-25|2板|航运
2026-02-26,2026-02-27,002470,金正大,3,化工,1,14,20,5,2,4.96,True,0.83,True,True,False,4,3,2,2026-02-26|3板|化工
2026-03-02,2026-03-03,002356,赫美集团,2,化工,9,2,18,0,11,0.43,False,7.65,False,False,False,4,2,2,2026-03-02|2板|化工
2026-03-02,2026-03-03,600108,亚盛集团,2,有色金属,2,7,18,0,11,10.07,True,3.07,True,True,False,4,2,5,2026-03-02|2板|有色金属
2026-03-02,2026-03-03,002155,湖南黄金,2,黄金,5,4,18,0,11,-1.8,False,107.3,False,False,False,4,2,1,2026-03-02|2板|黄金
2026-03-02,2026-03-03,600259,中稀有色,2,稀土永磁,0,19,18,0,11,-3.17,False,30.76,False,False,False,4,2,1,2026-03-02|2板|稀土永磁
2026-03-02,2026-03-03,600452,涪陵电力,2,电力,1,10,18,0,11,-1.85,False,12.15,False,False,False,4,2,1,2026-03-02|2板|电力
2026-03-02,2026-03-03,600498,烽火通信,2,通信,5,4,18,2,5,3.0,False,19.84,False,False,False,4,2,1,2026-03-02|2板|通信
2026-03-02,2026-03-03,603318,水发燃气,2,天然气,2,7,18,22,1,9.98,False,6.88,True,True,False,4,2,1,2026-03-02|2板|天然气
2026-03-02,2026-03-03,603353,和顺石油,2,石油石化,24,1,18,4,3,3.58,False,9.38,True,True,False,4,2,1,2026-03-02|2板|石油石化
2026-03-02,2026-03-03,603629,利通电子,2,算力,1,10,18,0,11,-4.09,False,27.9,False,False,False,4,2,1,2026-03-02|2板|算力
2026-03-02,2026-03-03,603738,泰晶科技,2,元器件,1,10,18,0,11,1.0,False,17.07,False,False,False,4,2,1,2026-03-02|2板|元器件
2026-03-02,2026-03-03,603897,长城科技,2,智能电网,2,7,18,0,11,0.0,False,6.23,False,False,False,4,2,1,2026-03-02|2板|智能电网
2026-03-03,2026-03-04,600108,亚盛集团,3,有色金属,0,11,10,1,8,0.21,False,22.49,True,True,False,3,3,1,2026-03-03|3板|有色金属
2026-03-03,2026-03-04,603318,水发燃气,3,天然气,22,1,10,0,18,10.0,True,1.35,True,True,False,3,3,1,2026-03-03|3板|天然气
2026-03-03,2026-03-04,603353,和顺石油,3,石油石化,4,3,10,1,8,5.94,False,9.82,False,False,False,3,3,1,2026-03-03|3板|石油石化
2026-03-05,2026-03-06,000533,顺钠股份,2,智能电网,5,2,25,7,2,9.98,True,1.08,True,True,False,4,2,4,2026-03-05|2板|智能电网
2026-03-05,2026-03-06,600545,卓郎智能,2,人工智能,2,6,25,2,7,6.1,True,0.71,True,True,False,4,2,2,2026-03-05|2板|人工智能
2026-03-05,2026-03-06,605268,王力安防,2,地产链,0,26,25,0,25,10.02,True,0.47,True,True,False,4,2,1,2026-03-05|2板|地产链
2026-03-11,2026-03-12,000537,绿发电力,2,电力,1,8,19,5,3,9.16,False,12.49,True,True,False,5,2,2,2026-03-11|2板|电力
2026-03-11,2026-03-12,000839,国安股份,2,AI应用,1,8,19,0,21,4.52,False,23.19,False,False,False,5,2,1,2026-03-11|2板|AI应用
2026-03-11,2026-03-12,600108,亚盛集团,2,农业,1,8,19,0,21,1.98,False,23.83,False,False,False,5,2,1,2026-03-11|2板|农业
2026-03-11,2026-03-12,600172,黄河旋风,2,金刚石概念,0,20,19,0,21,0.99,False,28.66,False,False,False,5,2,1,2026-03-11|2板|金刚石概念
2026-03-11,2026-03-12,600769,祥龙电业,2,水务,0,20,19,0,21,0.0,False,5.91,False,False,False,5,2,1,2026-03-11|2板|水务
2026-03-11,2026-03-12,603421,鼎信通讯,2,智能电网,4,3,19,3,4,-3.36,False,9.69,False,False,False,5,2,1,2026-03-11|2板|智能电网
2026-03-11,2026-03-12,603803,瑞斯康达,2,通信,3,4,19,1,8,-3.22,False,5.49,True,False,True,5,2,1,2026-03-11|2板|通信
2026-03-12,2026-03-13,601016,节能风电,2,储能,3,4,20,2,8,4.06,False,34.7,False,False,False,4,2,2,2026-03-12|2板|储能
2026-03-12,2026-03-13,600722,金牛化工,2,化工,9,1,20,6,2,3.9,False,24.41,True,True,False,4,2,1,2026-03-12|2板|化工
2026-03-12,2026-03-13,601868,中国能建,2,智能电网,3,4,20,1,12,0.0,False,174.58,False,False,False,4,2,1,2026-03-12|2板|智能电网
2026-03-16,2026-03-17,600227,赤天化,2,化工,2,4,20,2,4,-4.37,False,20.9,True,True,False,4,2,1,2026-03-16|2板|化工
2026-03-16,2026-03-17,600683,京投发展,2,地产链,0,21,20,3,1,9.96,False,2.31,True,True,False,4,2,1,2026-03-16|2板|地产链
2026-03-16,2026-03-17,603248,锡华科技,2,风电,1,10,20,2,4,-0.71,False,11.8,True,True,False,4,2,1,2026-03-16|2板|风电
2026-03-16,2026-03-17,603929,亚翔集成,2,芯片,7,1,20,0,19,4.45,False,14.1,True,True,False,4,2,1,2026-03-16|2板|芯片
2026-03-19,2026-03-20,000020,深华发Ａ,4,地产链,0,11,10,2,3,10.0,True,0.69,True,True,False,5,4,1,2026-03-19|4板|地产链
2026-03-19,2026-03-20,600396,华电辽能,4,风电,2,4,10,0,12,7.21,False,10.29,True,True,False,5,4,1,2026-03-19|4板|风电
2026-03-26,2026-03-27,000720,新能泰山,3,智能电网,3,4,15,1,13,8.38,True,1.06,True,True,False,8,3,1,2026-03-26|3板|智能电网
2026-03-26,2026-03-27,000722,湖南发展,3,电力,5,1,15,3,6,1.65,False,20.21,False,False,False,8,3,1,2026-03-26|3板|电力
2026-03-26,2026-03-27,002192,融捷股份,3,锂电池,4,2,15,14,1,3.42,False,28.4,True,True,False,8,3,1,2026-03-26|3板|锂电池
2026-03-26,2026-03-27,603538,美诺华,3,医药,4,2,15,10,3,6.51,False,10.14,True,True,False,8,3,1,2026-03-26|3板|医药
2026-03-31,2026-04-01,000008,神州高铁,2,轨道交通,4,1,21,0,24,10.09,False,5.24,True,False,True,5,2,1,2026-03-31|2板|轨道交通
2026-03-31,2026-04-01,000592,平潭发展,2,海峡两岸,2,9,21,0,24,-0.47,False,55.7,False,False,False,5,2,1,2026-03-31|2板|海峡两岸
2026-03-31,2026-04-01,002634,棒杰股份,2,光伏,1,14,21,1,11,-1.01,False,3.12,False,False,False,5,2,1,2026-03-31|2板|光伏
2026-03-31,2026-04-01,301008,宏昌科技,2,两轮车,3,5,21,0,24,16.67,False,11.59,False,False,False,5,2,1,2026-03-31|2板|两轮车
2026-04-01,2026-04-02,002560,通达股份,2,年报增长,2,7,23,0,12,9.44,False,9.81,True,True,False,4,2,1,2026-04-01|2板|年报增长
2026-04-01,2026-04-02,002821,凯莱英,2,医药,10,1,23,4,2,1.8,False,22.37,False,False,False,4,2,1,2026-04-01|2板|医药
2026-04-01,2026-04-02,605162,新中港,2,电力,0,24,23,1,6,4.93,False,6.64,True,True,False,4,2,1,2026-04-01|2板|电力
