F,water_f,cap_f,near_u,n_pass,n_touch,n_seal,n_zha,seal_r,zha_r,pass_rate,cont_r
2,1.0,9.8,3.0,168,85,63,22,0.7411764705882353,0.25882352941176473,0.5029940119760479,0.3630952380952381
1,1.0,9.0,3.0,150,81,60,21,0.7407407407407407,0.25925925925925924,0.4491017964071856,0.38666666666666666
1,-0.5,9.8,7.0,209,104,77,27,0.7403846153846154,0.25961538461538464,0.625748502994012,0.35406698564593303
2,0.0,9.0,8.0,211,104,77,27,0.7403846153846154,0.25961538461538464,0.6317365269461078,0.35545023696682465
4,0.5,5.0,7.0,182,77,57,20,0.7402597402597403,0.2597402597402597,0.5449101796407185,0.3076923076923077
4,1.0,9.8,3.0,173,77,57,20,0.7402597402597403,0.2597402597402597,0.5179640718562875,0.3179190751445087
1,-0.5,9.0,8.0,204,100,74,26,0.74,0.26,0.6107784431137725,0.35294117647058826
3,1.0,5.0,7.0,166,73,54,19,0.7397260273972602,0.2602739726027397,0.49700598802395207,0.3192771084337349
3,0.5,9.8,6.0,199,96,71,25,0.7395833333333334,0.2604166666666667,0.5958083832335329,0.3417085427135678
4,1.0,9.8,7.0,204,96,71,25,0.7395833333333334,0.2604166666666667,0.6107784431137725,0.3333333333333333
2,0.5,9.0,6.0,183,92,68,24,0.7391304347826086,0.2608695652173913,0.5479041916167665,0.36065573770491804
2,1.0,9.0,7.0,180,92,68,24,0.7391304347826086,0.2608695652173913,0.5389221556886228,0.36666666666666664
3,1.0,9.0,7.0,191,92,68,24,0.7391304347826086,0.2608695652173913,0.5718562874251497,0.34554973821989526
5,0.5,9.0,3.0,168,69,51,18,0.7391304347826086,0.2608695652173913,0.5029940119760479,0.30357142857142855
2,-0.5,9.8,8.0,226,111,82,29,0.7387387387387387,0.26126126126126126,0.6766467065868264,0.3495575221238938
3,-0.5,9.8,8.0,233,111,82,29,0.7387387387387387,0.26126126126126126,0.6976047904191617,0.33905579399141633
1,1.0,9.0,5.0,156,84,62,22,0.7380952380952381,0.2619047619047619,0.46706586826347307,0.38461538461538464
1,-0.5,9.8,6.0,208,103,76,27,0.7378640776699029,0.2621359223300971,0.6227544910179641,0.35096153846153844
5,0.5,9.0,8.0,218,103,76,27,0.7378640776699029,0.2621359223300971,0.6526946107784432,0.3440366972477064
1,0.5,5.0,8.0,129,61,45,16,0.7377049180327869,0.26229508196721313,0.38622754491017963,0.34108527131782945
2,0.5,9.0,3.0,166,80,59,21,0.7375,0.2625,0.49700598802395207,0.3493975903614458
1,-0.5,9.8,3.0,200,99,73,26,0.7373737373737373,0.26262626262626265,0.5988023952095808,0.35
1,0.0,9.0,7.0,189,95,70,25,0.7368421052631579,0.2631578947368421,0.5658682634730539,0.35978835978835977
2,0.5,9.8,5.0,187,95,70,25,0.7368421052631579,0.2631578947368421,0.5598802395209581,0.3582887700534759
3,1.0,9.8,6.0,193,95,70,25,0.7368421052631579,0.2631578947368421,0.5778443113772455,0.3471502590673575
4,0.5,9.8,6.0,205,95,70,25,0.7368421052631579,0.2631578947368421,0.6137724550898204,0.32682926829268294
4,1.0,5.0,7.0,176,76,56,20,0.7368421052631579,0.2631578947368421,0.5269461077844312,0.3125
4,1.0,5.0,3.0,145,57,42,15,0.7368421052631579,0.2631578947368421,0.4341317365269461,0.2896551724137931
4,-0.5,9.8,8.0,236,110,81,29,0.7363636363636363,0.2636363636363636,0.7065868263473054,0.3305084745762712
2,1.0,9.0,6.0,177,91,67,24,0.7362637362637363,0.26373626373626374,0.5299401197604791,0.3672316384180791
3,0.5,9.0,6.0,192,91,67,24,0.7362637362637363,0.26373626373626374,0.5748502994011976,0.3385416666666667
3,0.5,9.8,5.0,192,91,67,24,0.7362637362637363,0.26373626373626374,0.5748502994011976,0.3333333333333333
3,0.5,5.0,6.0,167,72,53,19,0.7361111111111112,0.2638888888888889,0.5,0.31137724550898205
3,-0.5,9.0,8.0,226,106,78,28,0.7358490566037735,0.2641509433962264,0.6766467065868264,0.336283185840708
4,0.0,9.0,8.0,227,106,78,28,0.7358490566037735,0.2641509433962264,0.6796407185628742,0.33480176211453744
3,-0.5,5.0,8.0,201,87,64,23,0.735632183908046,0.26436781609195403,0.6017964071856288,0.31343283582089554
1,-0.5,9.8,5.0,206,102,75,27,0.7352941176470589,0.2647058823529412,0.6167664670658682,0.34951456310679613
