F,water_f,cap_f,near_u,n_pass,n_touch,n_seal,n_zha,seal_r,zha_r,pass_rate,cont_r
5,1.0,9.0,8.0,214,102,75,27,0.7352941176470589,0.2647058823529412,0.6407185628742516,0.34579439252336447
5,1.0,9.0,3.0,164,68,50,18,0.7352941176470589,0.2647058823529412,0.49101796407185627,0.3048780487804878
2,1.0,9.0,3.0,160,79,58,21,0.7341772151898734,0.26582278481012656,0.47904191616766467,0.35625
1,0.0,9.0,6.0,188,94,69,25,0.7340425531914894,0.26595744680851063,0.562874251497006,0.35638297872340424
2,1.0,9.8,5.0,181,94,69,25,0.7340425531914894,0.26595744680851063,0.5419161676646707,0.36464088397790057
4,0.5,9.0,7.0,205,94,69,25,0.7340425531914894,0.26595744680851063,0.6137724550898204,0.32682926829268294
4,1.0,9.8,6.0,199,94,69,25,0.7340425531914894,0.26595744680851063,0.5958083832335329,0.3316582914572864
5,0.0,9.8,8.0,235,109,80,29,0.7339449541284404,0.26605504587155965,0.7035928143712575,0.33191489361702126
2,-0.5,9.0,8.0,218,105,77,28,0.7333333333333333,0.26666666666666666,0.6526946107784432,0.3440366972477064
2,0.0,9.8,7.0,213,105,77,28,0.7333333333333333,0.26666666666666666,0.6377245508982036,0.3474178403755869
1,0.0,9.0,3.0,180,90,66,24,0.7333333333333333,0.26666666666666666,0.5389221556886228,0.35555555555555557
3,1.0,9.0,6.0,186,90,66,24,0.7333333333333333,0.26666666666666666,0.5568862275449101,0.34408602150537637
3,1.0,9.8,5.0,186,90,66,24,0.7333333333333333,0.26666666666666666,0.5568862275449101,0.3387096774193548
4,-0.5,5.0,8.0,208,90,66,24,0.7333333333333333,0.26666666666666666,0.6227544910179641,0.3125
4,0.5,5.0,6.0,177,75,55,20,0.7333333333333333,0.26666666666666666,0.5299401197604791,0.3050847457627119
4,0.5,9.0,3.0,174,75,55,20,0.7333333333333333,0.26666666666666666,0.5209580838323353,0.3103448275862069
5,0.0,9.8,3.0,185,75,55,20,0.7333333333333333,0.26666666666666666,0.5538922155688623,0.2918918918918919
3,0.5,9.0,5.0,185,86,63,23,0.7325581395348837,0.26744186046511625,0.5538922155688623,0.32972972972972975
3,1.0,5.0,6.0,161,71,52,19,0.7323943661971831,0.2676056338028169,0.4820359281437126,0.3167701863354037
5,0.5,7.0,8.0,210,97,71,26,0.7319587628865979,0.26804123711340205,0.6287425149700598,0.3333333333333333
3,0.5,5.0,5.0,160,67,49,18,0.7313432835820896,0.26865671641791045,0.47904191616766467,0.3
3,0.5,7.0,3.0,158,67,49,18,0.7313432835820896,0.26865671641791045,0.47305389221556887,0.310126582278481
1,0.0,9.0,5.0,186,93,68,25,0.7311827956989247,0.26881720430107525,0.5568862275449101,0.3548387096774194
4,1.0,9.0,7.0,199,93,68,25,0.7311827956989247,0.26881720430107525,0.5958083832335329,0.3316582914572864
2,0.0,9.8,6.0,210,104,76,28,0.7307692307692307,0.2692307692307692,0.6287425149700598,0.3476190476190476
