T,T1,code,name,theme,boards,rank,fb,yizi,amt,is_anchor,down_h,anchor_type,seal_rank_theme,first_seal_sec,cont,score,prob
2026-01-30,2026-02-02,603103,横店影视,文化传媒,2,16,0,0,3.1,0,2,anchor_nat_yizi,1,465,1,35.57,0.3557
2026-03-31,2026-04-01,600502,安徽建工,基础建设,2,5,3,0,9.49,0,2,anchor_two,1,2396,0,35.52,0.3552
2026-01-30,2026-02-02,002995,天地在线,人工智能,2,4,4,0,19.15,0,2,anchor_nat_yizi,1,579,0,35.4,0.354
2026-06-30,2026-07-01,002628,成都路桥,机器人概念,2,2,26,0,3.14,0,2,anchor_two,1,3756,0,35.38,0.3538
2026-04-01,2026-04-02,605162,新中港,电力,2,24,0,0,6.64,0,2,anchor_reorg,1,3175,1,35.31,0.3531
2026-05-20,2026-05-21,003004,声迅股份,ST摘帽,2,9,1,0,2.1,0,2,anchor_two,1,3270,0,35.17,0.3517
2026-03-12,2026-03-13,600722,金牛化工,化工,2,1,9,0,24.41,0,2,anchor_two,1,3563,1,34.75,0.3475
2026-01-15,2026-01-16,002264,新华都,人工智能,2,8,1,0,18.95,0,2,anchor_nat_yizi,7,2958,0,34.71,0.3471
2026-03-26,2026-03-27,002192,融捷股份,锂电池,3,2,4,0,28.4,0,3,anchor_nat_yizi,1,1113,1,34.63,0.3463
2026-04-01,2026-04-02,002821,凯莱英,医药,2,1,10,0,22.37,0,2,anchor_reorg,2,3726,0,34.51,0.3451
2025-11-10,2025-11-11,600939,重庆建工,重庆市,3,25,0,0,4.5,0,3,anchor_nat_yizi,1,653,0,34.38,0.3438
2025-12-19,2025-12-22,603585,苏利股份,农业,3,7,2,0,6.05,0,3,anchor_nat_yizi,1,2959,0,33.8,0.338
2026-01-15,2026-01-16,002446,盛路通信,商业航天,2,8,1,0,39.45,0,2,anchor_nat_yizi,2,3690,0,33.66,0.3366
2025-12-19,2025-12-22,002910,庄园牧场,食品饮料,3,7,2,0,5.47,0,3,anchor_nat_yizi,1,3255,1,33.38,0.3338
2026-06-09,2026-06-10,688207,格灵深瞳,物理AI,2,15,1,0,9.35,0,2,anchor_reorg,3,3582,0,32.92,0.3292
2026-07-09,2026-07-10,002490,山东墨龙,石油石化,2,18,0,0,6.8,0,2,anchor_two,1,5643,0,32.7,0.327
2026-06-30,2026-07-01,001237,惠康科技,家电,2,15,1,0,7.41,0,2,anchor_two,1,5994,0,32.21,0.3221
2026-04-20,2026-04-21,603052,可川科技,通信,3,2,6,0,17.26,0,3,anchor_nat_yizi,2,3761,0,31.79,0.3179
2026-06-30,2026-07-01,600363,联创光电,核电,2,31,0,0,13.71,0,2,anchor_two,1,6344,0,31.73,0.3173
2025-12-12,2025-12-15,600343,航天动力,商业航天,2,1,13,0,59.53,0,2,anchor_nat_yizi,4,5109,0,31.68,0.3168
2026-01-14,2026-01-15,002131,利欧股份,人工智能,4,1,25,0,59.45,0,4,anchor_nat_yizi,4,48,0,31.67,0.3167
2026-06-29,2026-06-30,002568,百润股份,酿酒,2,34,0,0,6.85,0,2,anchor_two,1,4617,0,31.49,0.3149
2026-05-27,2026-05-28,002251,步步高,零售,2,21,0,0,12.27,0,2,anchor_two,1,6522,0,31.48,0.3148
2026-03-11,2026-03-12,600769,祥龙电业,水务,2,20,0,0,5.91,0,2,anchor_two,1,5922,0,30.58,0.3058
2026-06-09,2026-06-10,603186,华正新材,通信,2,1,27,0,28.11,0,2,anchor_reorg,2,5771,0,29.93,0.2993
2025-11-21,2025-11-24,000859,国风新材,芯片,3,5,1,0,26.05,0,3,anchor_nat_yizi,1,5523,1,29.42,0.2942
