definition,filters,n,wins,rate,half1,half2,notes
promote,NOT prev_leader_baoliang & one_price_today,279,194,0.6953,132/181=72.9%,62/98=63.3%,yizi_today=100%_not_buyable | wins_are_yizi_next=55% | yizi_today=100.0% | yizi_next_all=38.0% | height{2:122;3:85;4:28;5:16;6:9;7:6;8:5;9:1;10:2;12:1;13:1;14:2;16:1} | themes=53 | dates=100
promote,one_price_today & NOT is_new_high & NOT own_baoliang,388,269,0.6933,182/264=68.9%,87/124=70.2%,yizi_today=100%_not_buyable | wins_are_yizi_next=53% | yizi_today=100.0% | yizi_next_all=36.6% | height{2:242;3:102;4:29;5:7;6:4;7:2;8:2} | themes=65 | dates=166
promote,one_price_today & NOT is_fanbao & NOT own_baoliang,443,307,0.6930,207/298=69.5%,100/145=69.0%,yizi_today=100%_not_buyable | wins_are_yizi_next=54% | yizi_today=100.0% | yizi_next_all=37.2% | height{2:235;3:117;4:47;5:19;6:9;7:7;8:3;10:2;11:1;12:1;14:1;15:1} | themes=66 | dates=182
promote,one_price_today,511,354,0.6928,237/337=70.3%,117/174=67.2%,yizi_today=100%_not_buyable | wins_are_yizi_next=55% | yizi_today=100.0% | yizi_next_all=37.8% | height{2:245;3:141;4:58;5:25;6:13;7:9;8:5;9:4;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=66 | dates=187
promote,one_price_today & NOT opened,511,354,0.6928,237/337=70.3%,117/174=67.2%,yizi_today=100%_not_buyable | wins_are_yizi_next=55% | yizi_today=100.0% | yizi_next_all=37.8% | height{2:245;3:141;4:58;5:25;6:13;7:9;8:5;9:4;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=66 | dates=187
promote,one_price_today & unopened,511,354,0.6928,237/337=70.3%,117/174=67.2%,yizi_today=100%_not_buyable | wins_are_yizi_next=55% | yizi_today=100.0% | yizi_next_all=37.8% | height{2:245;3:141;4:58;5:25;6:13;7:9;8:5;9:4;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=66 | dates=187
promote,is_mid_2_3 & one_price_today,386,267,0.6917,174/247=70.4%,93/139=66.9%,yizi_today=100%_not_buyable | wins_are_yizi_next=52% | yizi_today=100.0% | yizi_next_all=35.8% | height{2:245;3:141} | themes=64 | dates=171
promote,one_price_today & NOT is_new_high & NOT boards_ge5,398,275,0.6910,183/267=68.5%,92/131=70.2%,yizi_today=100%_not_buyable | wins_are_yizi_next=53% | yizi_today=100.0% | yizi_next_all=36.7% | height{2:242;3:122;4:34} | themes=64 | dates=167
promote,prev_leader_baoliang & one_price_today,232,160,0.6897,105/156=67.3%,55/76=72.4%,yizi_today=100%_not_buyable | wins_are_yizi_next=54% | yizi_today=100.0% | yizi_next_all=37.5% | height{2:123;3:56;4:30;5:9;6:4;7:3;9:3;10:1;11:1;15:1;17:1} | themes=49 | dates=87
promote,one_price_today & NOT own_baoliang,454,313,0.6894,209/301=69.4%,104/153=68.0%,yizi_today=100%_not_buyable | wins_are_yizi_next=53% | yizi_today=100.0% | yizi_next_all=36.6% | height{2:245;3:117;4:47;5:20;6:9;7:7;8:3;10:2;11:1;12:1;14:1;15:1} | themes=66 | dates=183
promote,one_price_today & NOT opened & NOT own_baoliang,454,313,0.6894,209/301=69.4%,104/153=68.0%,yizi_today=100%_not_buyable | wins_are_yizi_next=53% | yizi_today=100.0% | yizi_next_all=36.6% | height{2:245;3:117;4:47;5:20;6:9;7:7;8:3;10:2;11:1;12:1;14:1;15:1} | themes=66 | dates=183
promote,one_price_today & theme_alive_own & NOT boards_ge5,373,257,0.6890,175/248=70.6%,82/125=65.6%,yizi_today=100%_not_buyable | wins_are_yizi_next=51% | yizi_today=100.0% | yizi_next_all=35.1% | height{2:206;3:119;4:48} | themes=50 | dates=164
