definition,filters,n,wins,rate,half1,half2,notes
zt_next,NOT one_price_today & NOT theme_alive_own & href_le1,95,27,0.2842,12/45=26.7%,15/50=30.0%,yizi_today=0.0% | yizi_next_all=2.1% | height{2:42;3:26;4:11;5:6;6:3;7:2;8:3;9:1;18:1} | themes=50 | dates=62
zt_next,leader_absent & NOT is_new_high & NOT theme_alive_own,169,48,0.2840,24/86=27.9%,24/83=28.9%,yizi_today=16.0% | yizi_next_all=6.5% | height{2:135;3:27;4:5;5:2} | themes=83 | dates=75
zt_next,NOT leader_baoliang & NOT one_price_today,1250,355,0.2840,201/595=33.8%,154/655=23.5%,yizi_today=0.0% | yizi_next_all=3.4% | height{2:878;3:192;4:95;5:41;6:22;7:11;8:7;9:1;10:1;12:1;13:1} | themes=119 | dates=105
zt_next,NOT leader_absent & NOT one_price_today & theme_alive_own,1099,312,0.2839,180/570=31.6%,132/529=25.0%,yizi_today=0.0% | yizi_next_all=3.4% | height{2:737;3:180;4:99;5:40;6:20;7:13;8:7;11:1;12:1;13:1} | themes=86 | dates=121
zt_next,NOT leader_baoliang & opened,836,237,0.2835,140/414=33.8%,97/422=23.0%,yizi_today=0.0% | yizi_next_all=2.8% | height{2:558;3:151;4:64;5:27;6:18;7:9;8:5;9:1;10:1;12:1;13:1} | themes=99 | dates=105
zt_next,NOT leader_baoliang & NOT unopened,836,237,0.2835,140/414=33.8%,97/422=23.0%,yizi_today=0.0% | yizi_next_all=2.8% | height{2:558;3:151;4:64;5:27;6:18;7:9;8:5;9:1;10:1;12:1;13:1} | themes=99 | dates=105
zt_next,NOT theme_alive & opened,1003,284,0.2832,184/629=29.3%,100/374=26.7%,yizi_today=0.0% | yizi_next_all=2.7% | height{2:626;3:209;4:87;5:34;6:22;7:13;8:7;9:1;11:1;12:1;13:1;18:1} | themes=109 | dates=135
zt_next,NOT theme_alive & NOT unopened,1003,284,0.2832,184/629=29.3%,100/374=26.7%,yizi_today=0.0% | yizi_next_all=2.7% | height{2:626;3:209;4:87;5:34;6:22;7:13;8:7;9:1;11:1;12:1;13:1;18:1} | themes=109 | dates=135
zt_next,NOT leader_absent & NOT one_price_today & NOT opened,403,114,0.2829,62/195=31.8%,52/208=25.0%,yizi_today=0.0% | yizi_next_all=5.0% | height{2:304;3:41;4:34;5:13;6:5;7:3;8:3} | themes=85 | dates=114
zt_next,NOT height_drop & same_theme_broken,99,28,0.2828,19/45=42.2%,9/54=16.7%,yizi_today=19.2% | yizi_next_all=8.1% | height{2:68;3:21;4:7;5:3} | themes=22 | dates=36
zt_next,leader_baoliang & same_theme_broken,92,26,0.2826,12/44=27.3%,14/48=29.2%,yizi_today=19.6% | yizi_next_all=7.6% | height{2:62;3:20;4:6;5:3;10:1} | themes=24 | dates=38
zt_next,prev_leader_baoliang & same_theme_broken,92,26,0.2826,16/45=35.6%,10/47=21.3%,yizi_today=17.4% | yizi_next_all=8.7% | height{2:64;3:18;4:8;5:2} | themes=21 | dates=34
zt_next,is_sub_high & NOT boards_ge5,393,111,0.2824,55/172=32.0%,56/221=25.3%,yizi_today=14.5% | yizi_next_all=6.4% | height{2:261;3:99;4:33} | themes=70 | dates=93
zt_next,NOT is_new_high & NOT boards_ge5 & href_le1,393,111,0.2824,55/172=32.0%,56/221=25.3%,yizi_today=14.5% | yizi_next_all=6.4% | height{2:261;3:99;4:33} | themes=70 | dates=93
zt_next,NOT theme_alive_own & NOT boards_ge5 & opened,241,68,0.2822,42/129=32.6%,26/112=23.2%,yizi_today=0.0% | yizi_next_all=0.8% | height{2:175;3:52;4:14} | themes=96 | dates=143
zt_next,theme_alive_own & same_theme_broken,156,44,0.2821,25/65=38.5%,19/91=20.9%,yizi_today=16.7% | yizi_next_all=8.3% | height{2:111;3:28;4:12;5:4;10:1} | themes=24 | dates=57
zt_next,NOT leader_absent & NOT one_price_today,1319,372,0.2820,219/689=31.8%,153/630=24.3%,yizi_today=0.0% | yizi_next_all=3.1% | height{2:887;3:218;4:114;5:48;6:22;7:15;8:10;9:1;11:1;12:1;13:1;18:1} | themes=116 | dates=121
zt_next,NOT one_price_today & NOT lag0,1319,372,0.2820,219/689=31.8%,153/630=24.3%,yizi_today=0.0% | yizi_next_all=3.1% | height{2:887;3:218;4:114;5:48;6:22;7:15;8:10;9:1;11:1;12:1;13:1;18:1} | themes=116 | dates=121
zt_next,NOT own_baoliang & same_theme_baoliang,110,31,0.2818,21/59=35.6%,10/51=19.6%,yizi_today=21.8% | yizi_next_all=9.1% | height{2:83;3:18;4:6;5:2;6:1} | themes=26 | dates=54
zt_next,NOT leader_absent & opened,916,258,0.2817,157/494=31.8%,101/422=23.9%,yizi_today=0.0% | yizi_next_all=2.3% | height{2:583;3:177;4:80;5:35;6:17;7:12;8:7;9:1;11:1;12:1;13:1;18:1} | themes=101 | dates=121
zt_next,NOT leader_absent & NOT unopened,916,258,0.2817,157/494=31.8%,101/422=23.9%,yizi_today=0.0% | yizi_next_all=2.3% | height{2:583;3:177;4:80;5:35;6:17;7:12;8:7;9:1;11:1;12:1;13:1;18:1} | themes=101 | dates=121
zt_next,opened & NOT lag0,916,258,0.2817,157/494=31.8%,101/422=23.9%,yizi_today=0.0% | yizi_next_all=2.3% | height{2:583;3:177;4:80;5:35;6:17;7:12;8:7;9:1;11:1;12:1;13:1;18:1} | themes=101 | dates=121
zt_next,NOT unopened & NOT lag0,916,258,0.2817,157/494=31.8%,101/422=23.9%,yizi_today=0.0% | yizi_next_all=2.3% | height{2:583;3:177;4:80;5:35;6:17;7:12;8:7;9:1;11:1;12:1;13:1;18:1} | themes=101 | dates=121
zt_next,NOT leader_absent & NOT one_price_today & opened,916,258,0.2817,157/494=31.8%,101/422=23.9%,yizi_today=0.0% | yizi_next_all=2.3% | height{2:583;3:177;4:80;5:35;6:17;7:12;8:7;9:1;11:1;12:1;13:1;18:1} | themes=101 | dates=121
zt_next,NOT one_price_today & NOT opened & NOT is_fanbao,665,187,0.2812,107/333=32.1%,80/332=24.1%,yizi_today=0.0% | yizi_next_all=5.6% | height{2:500;3:86;4:49;5:18;6:6;7:3;8:3} | themes=104 | dates=195
zt_next,NOT one_price_today & NOT is_fanbao & href_le1,541,152,0.2810,60/228=26.3%,92/313=29.4%,yizi_today=0.0% | yizi_next_all=3.1% | height{2:230;3:132;4:79;5:41;6:28;7:16;8:9;9:1;10:1;11:1;12:1;13:1;18:1} | themes=79 | dates=175
zt_next,NOT one_price_today & theme_alive_own & NOT is_fanbao,1746,490,0.2806,283/937=30.2%,207/809=25.6%,yizi_today=0.0% | yizi_next_all=3.8% | height{2:1187;3:298;4:150;5:56;6:30;7:14;8:7;10:1;11:1;12:1;13:1} | themes=103 | dates=207
zt_next,NOT theme_alive_own & opened & NOT href_le1,196,55,0.2806,36/107=33.6%,19/89=21.3%,yizi_today=0.0% | yizi_next_all=1.0% | height{2:149;3:36;4:6;5:5} | themes=89 | dates=120
zt_next,is_sub_high & is_mid_2_3,360,101,0.2806,49/151=32.5%,52/209=24.9%,yizi_today=13.9% | yizi_next_all=6.1% | height{2:261;3:99} | themes=70 | dates=71
zt_next,NOT one_price_today & NOT opened,700,196,0.2800,107/334=32.0%,89/366=24.3%,yizi_today=0.0% | yizi_next_all=5.4% | height{2:528;3:90;4:51;5:19;6:6;7:3;8:3} | themes=105 | dates=199
zt_next,NOT one_price_today & unopened,700,196,0.2800,107/334=32.0%,89/366=24.3%,yizi_today=0.0% | yizi_next_all=5.4% | height{2:528;3:90;4:51;5:19;6:6;7:3;8:3} | themes=105 | dates=199
zt_next,NOT one_price_today & href_le1,572,160,0.2797,60/231=26.0%,100/341=29.3%,yizi_today=0.0% | yizi_next_all=3.1% | height{2:244;3:138;4:88;5:43;6:28;7:16;8:9;9:1;10:1;11:1;12:1;13:1;18:1} | themes=79 | dates=178
zt_next,NOT leader_absent & theme_alive_own & opened,758,212,0.2797,125/404=30.9%,87/354=24.6%,yizi_today=0.0% | yizi_next_all=2.6% | height{2:480;3:146;4:68;5:29;6:16;7:11;8:5;11:1;12:1;13:1} | themes=74 | dates=121
zt_next,NOT same_theme_broken & is_sub_high,365,102,0.2795,57/174=32.8%,45/191=23.6%,yizi_today=15.9% | yizi_next_all=6.0% | height{2:233;3:85;4:32;5:13;6:1;7:1} | themes=73 | dates=103
zt_next,NOT theme_alive_own & opened,258,72,0.2791,45/142=31.7%,27/116=23.3%,yizi_today=0.0% | yizi_next_all=0.8% | height{2:175;3:52;4:14;5:10;6:2;7:1;8:2;9:1;18:1} | themes=96 | dates=147
zt_next,NOT theme_alive_own & NOT unopened,258,72,0.2791,45/142=31.7%,27/116=23.3%,yizi_today=0.0% | yizi_next_all=0.8% | height{2:175;3:52;4:14;5:10;6:2;7:1;8:2;9:1;18:1} | themes=96 | dates=147
zt_next,NOT one_price_today & NOT theme_alive_own & opened,258,72,0.2791,45/142=31.7%,27/116=23.3%,yizi_today=0.0% | yizi_next_all=0.8% | height{2:175;3:52;4:14;5:10;6:2;7:1;8:2;9:1;18:1} | themes=96 | dates=147
zt_next,NOT theme_alive_own & opened & NOT is_fanbao,258,72,0.2791,45/142=31.7%,27/116=23.3%,yizi_today=0.0% | yizi_next_all=0.8% | height{2:175;3:52;4:14;5:10;6:2;7:1;8:2;9:1;18:1} | themes=96 | dates=147
zt_next,NOT one_price_today & href_le1 & theme_alive_own,477,133,0.2788,48/186=25.8%,85/291=29.2%,yizi_today=0.0% | yizi_next_all=3.4% | height{2:202;3:112;4:77;5:37;6:25;7:14;8:6;10:1;11:1;12:1;13:1} | themes=59 | dates=164
zt_next,NOT one_price_today & theme_alive_own & href_le1,477,133,0.2788,48/186=25.8%,85/291=29.2%,yizi_today=0.0% | yizi_next_all=3.4% | height{2:202;3:112;4:77;5:37;6:25;7:14;8:6;10:1;11:1;12:1;13:1} | themes=59 | dates=164
zt_next,NOT leader_absent & opened & NOT href_le1,792,220,0.2778,139/437=31.8%,81/355=22.8%,yizi_today=0.0% | yizi_next_all=2.4% | height{2:577;3:145;4:49;5:16;6:4;8:1} | themes=98 | dates=118
zt_next,NOT prev_leader_baoliang & is_fanbao,54,15,0.2778,1/2=50.0%,14/52=26.9%,yizi_today=9.3% | yizi_next_all=1.9% | height{2:38;3:12;4:3;5:1} | themes=21 | dates=32
zt_next,NOT one_price_today & NOT is_fanbao,2125,590,0.2776,341/1134=30.1%,249/991=25.1%,yizi_today=0.0% | yizi_next_all=3.5% | height{2:1452;3:370;4:170;5:68;6:33;7:16;8:10;9:1;10:1;11:1;12:1;13:1;18:1} | themes=145 | dates=207
zt_next,opened & NOT is_fanbao & NOT href_le1,1081,300,0.2775,192/630=30.5%,108/451=23.9%,yizi_today=0.0% | yizi_next_all=2.7% | height{2:798;3:192;4:67;5:19;6:4;8:1} | themes=117 | dates=177
zt_next,NOT same_theme_broken & NOT one_price_today,2088,579,0.2773,325/1085=30.0%,254/1003=25.3%,yizi_today=0.0% | yizi_next_all=3.4% | height{2:1426;3:360;4:170;5:67;6:33;7:16;8:10;9:1;10:1;11:1;12:1;13:1;18:1} | themes=145 | dates=207
zt_next,theme_alive_own & NOT one_price_today,1846,511,0.2768,283/942=30.0%,228/904=25.2%,yizi_today=0.0% | yizi_next_all=3.6% | height{2:1261;3:313;4:159;5:58;6:30;7:14;8:7;10:1;11:1;12:1;13:1} | themes=103 | dates=207
zt_next,NOT one_price_today & NOT is_fanbao & NOT href_le1,1584,438,0.2765,281/906=31.0%,157/678=23.2%,yizi_today=0.0% | yizi_next_all=3.6% | height{2:1222;3:238;4:91;5:27;6:5;8:1} | themes=132 | dates=177
zt_next,NOT one_price_today & NOT opened & NOT own_baoliang,648,179,0.2762,98/303=32.3%,81/345=23.5%,yizi_today=0.0% | yizi_next_all=5.4% | height{2:528;3:65;4:33;5:14;6:4;7:2;8:2} | themes=97 | dates=198
zt_next,NOT one_price_today & theme_alive_own & NOT href_le1,1369,378,0.2761,235/756=31.1%,143/613=23.3%,yizi_today=0.0% | yizi_next_all=3.7% | height{2:1059;3:201;4:82;5:21;6:5;8:1} | themes=93 | dates=177
zt_next,leader_absent & NOT one_price_today & NOT opened,297,82,0.2761,45/139=32.4%,37/158=23.4%,yizi_today=0.0% | yizi_next_all=6.1% | height{2:224;3:49;4:17;5:6;6:1} | themes=71 | dates=85
zt_next,NOT leader_absent & NOT one_price_today & NOT is_new_high,1217,336,0.2761,203/644=31.5%,133/573=23.2%,yizi_today=0.0% | yizi_next_all=3.1% | height{2:887;3:214;4:83;5:26;6:5;7:1;8:1} | themes=115 | dates=121
zt_next,NOT is_fanbao & opened,1460,403,0.2760,234/801=29.2%,169/659=25.6%,yizi_today=0.0% | yizi_next_all=2.5% | height{2:952;3:284;4:121;5:50;6:27;7:13;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=127 | dates=207
zt_next,NOT is_fanbao & NOT unopened,1460,403,0.2760,234/801=29.2%,169/659=25.6%,yizi_today=0.0% | yizi_next_all=2.5% | height{2:952;3:284;4:121;5:50;6:27;7:13;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=127 | dates=207
zt_next,NOT one_price_today & opened & NOT is_fanbao,1460,403,0.2760,234/801=29.2%,169/659=25.6%,yizi_today=0.0% | yizi_next_all=2.5% | height{2:952;3:284;4:121;5:50;6:27;7:13;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=127 | dates=207
zt_next,NOT leader_absent & NOT is_new_high & opened,838,231,0.2757,143/456=31.4%,88/382=23.0%,yizi_today=0.0% | yizi_next_all=2.4% | height{2:583;3:173;4:58;5:18;6:4;7:1;8:1} | themes=99 | dates=121
zt_next,prev_leader_baoliang & NOT one_price_today,1042,287,0.2754,151/523=28.9%,136/519=26.2%,yizi_today=0.0% | yizi_next_all=2.6% | height{2:745;3:157;4:82;5:31;6:13;7:7;8:4;9:1;12:1;18:1} | themes=111 | dates=101
zt_next,theme_alive_own & opened & NOT is_fanbao,1202,331,0.2754,189/659=28.7%,142/543=26.2%,yizi_today=0.0% | yizi_next_all=2.9% | height{2:777;3:232;4:107;5:40;6:25;7:12;8:5;10:1;11:1;12:1;13:1} | themes=91 | dates=206
zt_next,NOT leader_absent & NOT boards_ge5 & opened,840,231,0.2750,139/444=31.3%,92/396=23.2%,yizi_today=0.0% | yizi_next_all=2.0% | height{2:583;3:177;4:80} | themes=100 | dates=121
zt_next,NOT leader_absent & NOT one_price_today & NOT href_le1,1153,317,0.2749,194/616=31.5%,123/537=22.9%,yizi_today=0.0% | yizi_next_all=3.1% | height{2:877;3:179;4:69;5:22;6:5;8:1} | themes=113 | dates=118
zt_next,NOT one_price_today,2225,611,0.2746,341/1139=29.9%,270/1086=24.9%,yizi_today=0.0% | yizi_next_all=3.4% | height{2:1526;3:385;4:179;5:70;6:33;7:16;8:10;9:1;10:1;11:1;12:1;13:1;18:1} | themes=145 | dates=207
zt_next,opened & NOT href_le1,1122,308,0.2745,192/631=30.4%,116/491=23.6%,yizi_today=0.0% | yizi_next_all=2.6% | height{2:833;3:198;4:67;5:19;6:4;8:1} | themes=118 | dates=177
zt_next,NOT unopened & NOT href_le1,1122,308,0.2745,192/631=30.4%,116/491=23.6%,yizi_today=0.0% | yizi_next_all=2.6% | height{2:833;3:198;4:67;5:19;6:4;8:1} | themes=118 | dates=177
zt_next,NOT one_price_today & opened & NOT href_le1,1122,308,0.2745,192/631=30.4%,116/491=23.6%,yizi_today=0.0% | yizi_next_all=2.6% | height{2:833;3:198;4:67;5:19;6:4;8:1} | themes=118 | dates=177
zt_next,NOT is_new_high & opened & NOT href_le1,1122,308,0.2745,192/631=30.4%,116/491=23.6%,yizi_today=0.0% | yizi_next_all=2.6% | height{2:833;3:198;4:67;5:19;6:4;8:1} | themes=118 | dates=177
zt_next,prev_leader_baoliang & opened,707,194,0.2744,102/360=28.3%,92/347=26.5%,yizi_today=0.0% | yizi_next_all=2.1% | height{2:485;3:125;4:53;5:22;6:11;7:5;8:3;9:1;12:1;18:1} | themes=98 | dates=101
zt_next,prev_leader_baoliang & NOT unopened,707,194,0.2744,102/360=28.3%,92/347=26.5%,yizi_today=0.0% | yizi_next_all=2.1% | height{2:485;3:125;4:53;5:22;6:11;7:5;8:3;9:1;12:1;18:1} | themes=98 | dates=101
zt_next,is_sub_high & own_baoliang,62,17,0.2742,12/40=30.0%,5/22=22.7%,yizi_today=12.9% | yizi_next_all=8.1% | height{3:42;4:13;5:6;6:1} | themes=30 | dates=45
zt_next,NOT is_new_high & own_baoliang & href_le1,62,17,0.2742,12/40=30.0%,5/22=22.7%,yizi_today=12.9% | yizi_next_all=8.1% | height{3:42;4:13;5:6;6:1} | themes=30 | dates=45
zt_next,NOT theme_alive_own & opened & href_le1,62,17,0.2742,9/35=25.7%,8/27=29.6%,yizi_today=0.0% | yizi_next_all=0.0% | height{2:26;3:16;4:8;5:5;6:2;7:1;8:2;9:1;18:1} | themes=40 | dates=45
zt_next,NOT same_theme_broken & opened,1427,391,0.2740,222/766=29.0%,169/661=25.6%,yizi_today=0.0% | yizi_next_all=2.5% | height{2:930;3:274;4:122;5:48;6:27;7:13;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=127 | dates=207
zt_next,NOT same_theme_broken & NOT unopened,1427,391,0.2740,222/766=29.0%,169/661=25.6%,yizi_today=0.0% | yizi_next_all=2.5% | height{2:930;3:274;4:122;5:48;6:27;7:13;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=127 | dates=207
zt_next,same_theme_broken & is_mid_2_3,146,40,0.2740,21/58=36.2%,19/88=21.6%,yizi_today=14.4% | yizi_next_all=7.5% | height{2:116;3:30} | themes=25 | dates=59
zt_next,NOT prev_leader_baoliang & NOT one_price_today,1183,324,0.2739,190/616=30.8%,134/567=23.6%,yizi_today=0.0% | yizi_next_all=4.1% | height{2:781;3:228;4:97;5:39;6:20;7:9;8:6;10:1;11:1;13:1} | themes=119 | dates=106
zt_next,leader_absent & NOT theme_alive_own & NOT href_le1,106,29,0.2736,17/62=27.4%,12/44=27.3%,yizi_today=17.9% | yizi_next_all=7.5% | height{2:88;3:15;4:2;5:1} | themes=64 | dates=50
zt_next,theme_alive_own & opened & NOT href_le1,926,253,0.2732,156/524=29.8%,97/402=24.1%,yizi_today=0.0% | yizi_next_all=2.9% | height{2:684;3:162;4:61;5:14;6:4;8:1} | themes=84 | dates=176
zt_next,NOT leader_absent & NOT one_price_today & NOT boards_ge5,1219,333,0.2732,194/627=30.9%,139/592=23.5%,yizi_today=0.0% | yizi_next_all=2.9% | height{2:887;3:218;4:114} | themes=115 | dates=121
zt_next,NOT leader_absent & NOT one_price_today & NOT own_baoliang,1135,310,0.2731,182/578=31.5%,128/557=23.0%,yizi_today=0.0% | yizi_next_all=3.3% | height{2:887;3:127;4:60;5:25;6:16;7:11;8:6;9:1;12:1;13:1} | themes=113 | dates=121
zt_next,NOT one_price_today & NOT same_theme_baoliang,2033,555,0.2730,319/1047=30.5%,236/986=23.9%,yizi_today=0.0% | yizi_next_all=3.5% | height{2:1455;3:338;4:145;5:50;6:23;7:11;8:7;9:1;10:1;12:1;13:1} | themes=143 | dates=207
zt_next,NOT one_price_today & NOT href_le1,1653,451,0.2728,281/908=30.9%,170/745=22.8%,yizi_today=0.0% | yizi_next_all=3.4% | height{2:1282;3:247;4:91;5:27;6:5;8:1} | themes=133 | dates=177
zt_next,NOT one_price_today & NOT is_new_high & NOT href_le1,1653,451,0.2728,281/908=30.9%,170/745=22.8%,yizi_today=0.0% | yizi_next_all=3.4% | height{2:1282;3:247;4:91;5:27;6:5;8:1} | themes=133 | dates=177
zt_next,NOT leader_absent & NOT one_price_today & NOT theme_alive_own,220,60,0.2727,39/119=32.8%,21/101=20.8%,yizi_today=0.0% | yizi_next_all=1.8% | height{2:150;3:38;4:15;5:8;6:2;7:2;8:3;9:1;18:1} | themes=87 | dates=105
zt_next,same_theme_broken & NOT is_sub_high,121,33,0.2727,25/61=41.0%,8/60=13.3%,yizi_today=19.8% | yizi_next_all=7.4% | height{2:88;3:16;4:11;5:5;10:1} | themes=24 | dates=51
zt_next,height_drop & same_theme_baoliang,110,30,0.2727,14/50=28.0%,16/60=26.7%,yizi_today=19.1% | yizi_next_all=9.1% | height{2:47;3:34;4:17;5:6;6:4;7:1;10:1} | themes=25 | dates=35
zt_next,leader_absent & is_fanbao,44,12,0.2727,1/4=25.0%,11/40=27.5%,yizi_today=4.5% | yizi_next_all=0.0% | height{2:33;3:8;4:3} | themes=20 | dates=27
zt_next,is_fanbao & lag0,44,12,0.2727,1/4=25.0%,11/40=27.5%,yizi_today=4.5% | yizi_next_all=0.0% | height{2:33;3:8;4:3} | themes=20 | dates=27
zt_next,leader_absent & theme_alive_own & is_fanbao,44,12,0.2727,1/4=25.0%,11/40=27.5%,yizi_today=4.5% | yizi_next_all=0.0% | height{2:33;3:8;4:3} | themes=20 | dates=27
zt_next,leader_absent & NOT boards_ge5 & is_fanbao,44,12,0.2727,1/4=25.0%,11/40=27.5%,yizi_today=4.5% | yizi_next_all=0.0% | height{2:33;3:8;4:3} | themes=20 | dates=27
zt_next,is_fanbao & href_le1,33,9,0.2727,1/4=25.0%,8/29=27.6%,yizi_today=6.1% | yizi_next_all=3.0% | height{2:15;3:6;4:9;5:3} | themes=11 | dates=24
zt_next,theme_alive_own & is_fanbao & href_le1,33,9,0.2727,1/4=25.0%,8/29=27.6%,yizi_today=6.1% | yizi_next_all=3.0% | height{2:15;3:6;4:9;5:3} | themes=11 | dates=24
zt_next,NOT leader_absent & opened & NOT own_baoliang,763,208,0.2726,127/399=31.8%,81/364=22.3%,yizi_today=0.0% | yizi_next_all=2.5% | height{2:583;3:100;4:36;5:16;6:12;7:9;8:4;9:1;12:1;13:1} | themes=98 | dates=121
zt_next,prev_leader_baoliang & is_sub_high,224,61,0.2723,32/107=29.9%,29/117=24.8%,yizi_today=13.8% | yizi_next_all=5.4% | height{2:154;3:51;4:16;5:3} | themes=54 | dates=53
zt_next,NOT boards_ge5 & opened & NOT href_le1,1098,299,0.2723,185/610=30.3%,114/488=23.4%,yizi_today=0.0% | yizi_next_all=2.4% | height{2:833;3:198;4:67} | themes=118 | dates=177
zt_next,opened,1525,415,0.2721,234/805=29.1%,181/720=25.1%,yizi_today=0.0% | yizi_next_all=2.4% | height{2:998;3:295;4:128;5:51;6:27;7:13;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=127 | dates=207
zt_next,NOT unopened,1525,415,0.2721,234/805=29.1%,181/720=25.1%,yizi_today=0.0% | yizi_next_all=2.4% | height{2:998;3:295;4:128;5:51;6:27;7:13;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=127 | dates=207
zt_next,NOT one_price_today & opened,1525,415,0.2721,234/805=29.1%,181/720=25.1%,yizi_today=0.0% | yizi_next_all=2.4% | height{2:998;3:295;4:128;5:51;6:27;7:13;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=127 | dates=207
zt_next,NOT one_price_today & NOT unopened,1525,415,0.2721,234/805=29.1%,181/720=25.1%,yizi_today=0.0% | yizi_next_all=2.4% | height{2:998;3:295;4:128;5:51;6:27;7:13;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=127 | dates=207
zt_next,opened & NOT unopened,1525,415,0.2721,234/805=29.1%,181/720=25.1%,yizi_today=0.0% | yizi_next_all=2.4% | height{2:998;3:295;4:128;5:51;6:27;7:13;8:7;9:1;10:1;11:1;12:1;13:1;18:1} | themes=127 | dates=207
zt_next,NOT one_price_today & NOT boards_ge5 & NOT opened,669,182,0.2720,98/316=31.0%,84/353=23.8%,yizi_today=0.0% | yizi_next_all=5.4% | height{2:528;3:90;4:51} | themes=105 | dates=196
zt_next,opened & NOT is_fanbao & href_le1,379,103,0.2718,42/171=24.6%,61/208=29.3%,yizi_today=0.0% | yizi_next_all=2.1% | height{2:154;3:92;4:54;5:31;6:23;7:13;8:6;9:1;10:1;11:1;12:1;13:1;18:1} | themes=70 | dates=153
zt_next,NOT one_price_today & NOT own_baoliang & href_le1,427,116,0.2717,41/153=26.8%,75/274=27.4%,yizi_today=0.0% | yizi_next_all=3.5% | height{2:244;3:76;4:49;5:20;6:17;7:11;8:6;9:1;10:1;12:1;13:1} | themes=68 | dates=133
zt_next,theme_alive & is_sub_high,199,54,0.2714,15/48=31.2%,39/151=25.8%,yizi_today=9.0% | yizi_next_all=5.5% | height{2:133;3:55;4:7;5:4} | themes=50 | dates=48
zt_next,NOT height_drop & NOT one_price_today,1650,447,0.2709,253/861=29.4%,194/789=24.6%,yizi_today=0.0% | yizi_next_all=3.2% | height{2:1121;3:281;4:139;5:52;6:26;7:15;8:10;9:1;10:1;11:1;12:1;13:1;18:1} | themes=131 | dates=149
zt_next,NOT is_sub_high & is_fanbao,96,26,0.2708,1/4=25.0%,25/92=27.2%,yizi_today=11.5% | yizi_next_all=3.1% | height{2:70;3:13;4:9;5:4} | themes=29 | dates=55
zt_next,NOT height_new_high & NOT one_price_today,1954,529,0.2707,274/939=29.2%,255/1015=25.1%,yizi_today=0.0% | yizi_next_all=3.2% | height{2:1360;3:327;4:159;5:59;6:30;7:14;8:5} | themes=138 | dates=185
zt_next,theme_alive_own & opened,1267,343,0.2707,189/663=28.5%,154/604=25.5%,yizi_today=0.0% | yizi_next_all=2.8% | height{2:823;3:243;4:114;5:41;6:25;7:12;8:5;10:1;11:1;12:1;13:1} | themes=91 | dates=206
zt_next,theme_alive_own & NOT unopened,1267,343,0.2707,189/663=28.5%,154/604=25.5%,yizi_today=0.0% | yizi_next_all=2.8% | height{2:823;3:243;4:114;5:41;6:25;7:12;8:5;10:1;11:1;12:1;13:1} | themes=91 | dates=206
zt_next,NOT one_price_today & theme_alive_own & opened,1267,343,0.2707,189/663=28.5%,154/604=25.5%,yizi_today=0.0% | yizi_next_all=2.8% | height{2:823;3:243;4:114;5:41;6:25;7:12;8:5;10:1;11:1;12:1;13:1} | themes=91 | dates=206
zt_next,leader_absent & is_sub_high,329,89,0.2705,45/146=30.8%,44/183=24.0%,yizi_today=14.0% | yizi_next_all=5.5% | height{2:251;3:55;4:15;5:7;6:1} | themes=70 | dates=65
zt_next,is_sub_high & lag0,329,89,0.2705,45/146=30.8%,44/183=24.0%,yizi_today=14.0% | yizi_next_all=5.5% | height{2:251;3:55;4:15;5:7;6:1} | themes=70 | dates=65
zt_next,leader_absent & NOT is_new_high & href_le1,329,89,0.2705,45/146=30.8%,44/183=24.0%,yizi_today=14.0% | yizi_next_all=5.5% | height{2:251;3:55;4:15;5:7;6:1} | themes=70 | dates=65
zt_next,NOT prev_leader_baoliang & opened,818,221,0.2702,132/445=29.7%,89/373=23.9%,yizi_today=0.0% | yizi_next_all=2.7% | height{2:513;3:170;4:75;5:29;6:16;7:8;8:4;10:1;11:1;13:1} | themes=102 | dates=106
zt_next,NOT prev_leader_baoliang & NOT unopened,818,221,0.2702,132/445=29.7%,89/373=23.9%,yizi_today=0.0% | yizi_next_all=2.7% | height{2:513;3:170;4:75;5:29;6:16;7:8;8:4;10:1;11:1;13:1} | themes=102 | dates=106
zt_next,opened & NOT same_theme_baoliang,1377,372,0.2702,216/731=29.5%,156/646=24.1%,yizi_today=0.0% | yizi_next_all=2.6% | height{2:948;3:257;4:102;5:33;6:19;7:9;8:5;9:1;10:1;12:1;13:1} | themes=124 | dates=207
zt_next,NOT unopened & NOT same_theme_baoliang,1377,372,0.2702,216/731=29.5%,156/646=24.1%,yizi_today=0.0% | yizi_next_all=2.6% | height{2:948;3:257;4:102;5:33;6:19;7:9;8:5;9:1;10:1;12:1;13:1} | themes=124 | dates=207
