family,filters,outcome,n,wins,rate,h1_n,h1_w,h1,h2_n,h2_w,h2,claim
alt_plus,ge3_unopened_tn8+not_fanbao,open_up,60,25,0.4167,31,14,0.4516,29,11,0.3793,False
alt_plus,ge3_unopened_tn8+not_fanbao,open_flat,60,31,0.5167,31,18,0.5806,29,13,0.4483,False
alt_plus,ge3_unopened_tn8+not_fanbao,touch3,60,39,0.6500,31,19,0.6129,29,20,0.6897,False
alt_plus,ge3_unopened_tn8+not_fanbao,hold_3d,62,36,0.5806,31,18,0.5806,31,18,0.5806,False
alt_plus,ge3_unopened_tn8+stock_unbroken,maxc3,58,47,0.8103,29,22,0.7586,29,25,0.8621,False
alt_plus,ge3_unopened_tn8+stock_unbroken,hold_close,58,38,0.6552,29,19,0.6552,29,19,0.6552,False
alt_plus,ge3_unopened_tn8+stock_unbroken,hold_flat,58,38,0.6552,29,19,0.6552,29,19,0.6552,False
alt_plus,ge3_unopened_tn8+stock_unbroken,hold_touch3,58,40,0.6897,29,19,0.6552,29,21,0.7241,False
alt_plus,ge3_unopened_tn8+stock_unbroken,open_up,55,23,0.4182,28,13,0.4643,27,10,0.3704,False
alt_plus,ge3_unopened_tn8+stock_unbroken,open_flat,55,29,0.5273,28,17,0.6071,27,12,0.4444,False
alt_plus,ge3_unopened_tn8+stock_unbroken,touch3,55,37,0.6727,28,18,0.6429,27,19,0.7037,False
alt_plus,ge3_unopened_tn8+stock_unbroken,hold_3d,57,34,0.5965,28,17,0.6071,29,17,0.5862,False
alt_plus,ge3_unopened_tn8+stock_broken,maxc3,9,7,0.7778,3,2,0.6667,6,5,0.8333,False
alt_plus,ge3_unopened_tn8+stock_broken,hold_close,9,7,0.7778,3,2,0.6667,6,5,0.8333,False
alt_plus,ge3_unopened_tn8+stock_broken,hold_flat,9,7,0.7778,3,2,0.6667,6,5,0.8333,False
alt_plus,ge3_unopened_tn8+stock_broken,hold_touch3,9,6,0.6667,3,1,0.3333,6,5,0.8333,False
alt_plus,ge3_unopened_tn8+stock_broken,open_up,8,3,0.3750,3,1,0.3333,5,2,0.4000,False
alt_plus,ge3_unopened_tn8+stock_broken,open_flat,8,4,0.5000,3,1,0.3333,5,3,0.6000,False
alt_plus,ge3_unopened_tn8+stock_broken,touch3,8,5,0.6250,3,1,0.3333,5,4,0.8000,False
alt_plus,ge3_unopened_tn8+stock_broken,hold_3d,9,5,0.5556,3,1,0.3333,6,4,0.6667,False
alt_plus,ge3_unopened_tn8+eqH,maxc3,25,19,0.7600,7,3,0.4286,18,16,0.8889,False
alt_plus,ge3_unopened_tn8+eqH,hold_close,25,16,0.6400,7,3,0.4286,18,13,0.7222,False
alt_plus,ge3_unopened_tn8+eqH,hold_flat,25,16,0.6400,7,3,0.4286,18,13,0.7222,False
alt_plus,ge3_unopened_tn8+eqH,hold_touch3,25,17,0.6800,7,3,0.4286,18,14,0.7778,False
alt_plus,ge3_unopened_tn8+eqH,open_up,23,9,0.3913,7,2,0.2857,16,7,0.4375,False
alt_plus,ge3_unopened_tn8+eqH,open_flat,23,11,0.4783,7,2,0.2857,16,9,0.5625,False
alt_plus,ge3_unopened_tn8+eqH,touch3,23,15,0.6522,7,3,0.4286,16,12,0.7500,False
alt_plus,ge3_unopened_tn8+eqH,hold_3d,25,15,0.6000,7,3,0.4286,18,12,0.6667,False
alt_plus,ge3_unopened_tn8+eqHm1,maxc3,16,14,0.8750,7,6,0.8571,9,8,0.8889,False
alt_plus,ge3_unopened_tn8+eqHm1,hold_close,16,12,0.7500,7,6,0.8571,9,6,0.6667,False
alt_plus,ge3_unopened_tn8+eqHm1,hold_flat,16,12,0.7500,7,6,0.8571,9,6,0.6667,False
alt_plus,ge3_unopened_tn8+eqHm1,hold_touch3,16,12,0.7500,7,4,0.5714,9,8,0.8889,False
alt_plus,ge3_unopened_tn8+eqHm1,open_up,15,6,0.4000,7,4,0.5714,8,2,0.2500,False
alt_plus,ge3_unopened_tn8+eqHm1,open_flat,15,6,0.4000,7,4,0.5714,8,2,0.2500,False
alt_plus,ge3_unopened_tn8+eqHm1,touch3,15,11,0.7333,7,4,0.5714,8,7,0.8750,False
alt_plus,ge3_unopened_tn8+eqHm1,hold_3d,15,10,0.6667,6,4,0.6667,9,6,0.6667,False
alt_plus,ge3_unopened_tn8+belowH,maxc3,42,35,0.8333,25,21,0.8400,17,14,0.8235,False
alt_plus,ge3_unopened_tn8+belowH,hold_close,42,29,0.6905,25,18,0.7200,17,11,0.6471,False
alt_plus,ge3_unopened_tn8+belowH,hold_flat,42,29,0.6905,25,18,0.7200,17,11,0.6471,False
